study_id,cmoc_id,study_title,year,doi,source_id,source_text_path,evidence_level,source_text_length,model_pts,model_polarity,model_context_code,model_context_text,model_intervention_code,model_intervention_text,model_mechanism_code,model_mechanism_text,model_outcome_code,model_outcome_text,model_relationship_triples,evidence_quote,quote_support_context,quote_support_intervention,quote_support_mechanism,quote_support_outcome,evidence_support_score,human_corrected_context,human_corrected_intervention,human_corrected_mechanism,human_corrected_outcome,human_corrected_triples,human_corrected_pts,decision_status,review_priority,ai_adjudication_confidence,error_category,reviewer_notes
S005,S005_CMOC2,Teaching from the clinical reasoning literature: combined reasoning strategies help novice diagnosticians overcome misleading information,2007,10.1111/j.1365-2923.2007.02923.x,EBSCO-FullText-01_02_2026 (1).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (1).pdf.txt,Full-text,33360,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,C: participants in the no-instruction condition would have been influenced by similarity when making their diagnostic decisions. | I: participants who had been explicitly told to trust feelings of familiarity and to be careful not to overlook presenting features. | M: participants in the no-instruction condition did not perform as successfully. | O: participants in the no-instruction condition did not perform as successfully.,partial_8_word,partial_8_word,not_found,not_found,0.506,E05,E14,E45,E36,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_REVIEW_REQUIRED,HIGH,0.827,weak_quote_support,"AI-assisted draft, not final human gold. Evidence support 2/4; chain issues: none; predicate aliases normalized: no."
S006,S006_CMOC1,The benefits of flexibility: the pedagogical value of instructions to adopt multifaceted diagnostic reasoning strategies,2007,10.1111/j.1365-2929.2007.02688.x,EBSCO-FullText-01_02_2026 (2).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (2).pdf.txt,Full-text,32669,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E25,high diagnostic accuracy,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,C: naïve students were trained to identify features on electrocardiograms (ECGs) and assign diagnoses. | I: participants were instructed to carefully identify all features while trusting guidance provided by feelings of familiarity. | M: instructions to utilise a combined reasoning strategy can improve performance. | O: Greater diagnostic accuracy was achieved following both contrastive learning and instructions to use a combined reasoning strategy.,exact,partial_8_word,exact,exact,0.938,E02,E18,E27,E25,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,PTS1,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.95,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S006,S006_CMOC2,The benefits of flexibility: the pedagogical value of instructions to adopt multifaceted diagnostic reasoning strategies,2007,10.1111/j.1365-2929.2007.02688.x,EBSCO-FullText-01_02_2026 (2).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (2).pdf.txt,Full-text,32669,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E09,teaching resources that allow them to make mistakes,E26,grateful for the learning experience,E22,positive learning experience,E09-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,"C: students might naturally utilise a combined reasoning strategy. | I: the need to assess such a comparison provided the first objective of this study. | M: the conclusion that contrastive learning and combined reasoning instructions hold pedagogical value. | O: students might naturally utilise a combined reasoning strategy, but they appear to do so with less benefit.",exact,partial_8_word,exact,partial_8_word,0.875,E04,E09,E26,E22,E09-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,PTS3,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.95,none,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S007,S007_CMOC1,"Fostering diagnostic knowledge through computer‐supported, case‐based worked examples: effects of erroneous examples and feedback",2008,10.1111/j.1365-2923.2008.03122.x,EBSCO-FullText-01_02_2026 (10).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (10).pdf.txt,Full-text,32206,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E09,teaching resources that allow them to make mistakes,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E09-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,C: medical students at the end of their clinical studies proceed in an additive and mechanistic way. | I: the acquisition of diagnostic knowledge is mainly supported by providing erroneous examples in combination with elaborated feedback. | M: learners must identify the error and understand the correct solution by systematically comparing the incorrect solution with the correct one. | O: the effects of the learning environment proved sustainable.,exact,partial_8_word,exact,exact,0.938,E02,E09,E27,E46,E09-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED,MEDIUM,0.828,pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: intervention:E09_not_in_E07/E15/E18, outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S007,S007_CMOC2,"Fostering diagnostic knowledge through computer‐supported, case‐based worked examples: effects of erroneous examples and feedback",2008,10.1111/j.1365-2923.2008.03122.x,EBSCO-FullText-01_02_2026 (10).pdf,d:\LLM-Knowledge-Graph\graphrag\input\EBSCO-FullText-01_02_2026 (10).pdf.txt,Full-text,32206,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,"C: the information that a specific diagnostic conclusion or procedure is not adequate seems not to be sufficient to induce deep conceptual understanding. | I: When only KCR feedback is given, erroneous examples are detrimental. | M: the information deﬁcit in the conditions with KCR feedback... must be compensated for by effective self-explanation. | O: the unfavourable effect of erroneous examples in combination with KCR feedback on knowledge acquisition replicates findings.",partial_8_word,not_found,partial_8_word,partial_8_word,0.662,E05,E14,E45,E36,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_ACCEPT_READY_FOR_HUMAN_SIGNOFF,LOW,0.882,none,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: none; predicate aliases normalized: no."
S008,S008_CMOC1,Integrated Cases Section: A Course Designed to Promote Clinical Reasoning in Year 2 Medical Students,2010,10.1080/10401334.2010.512835,https://pubmed.ncbi.nlm.nih.gov/20936581/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_20936581.txt,Abstract Only,1291,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,C: Medical students often have difficulty applying basic science knowledge within clinical contexts as they transition into clerkships. | I: Curricular instruction incorporated analytic and nonanalytic clinical reasoning models. | M: Students reported increased confidence in their diagnostic reasoning ability during the course. | O: Students clinical reasoning showed a significant gain after the Integrated Cases Section on a script concordance test.,exact,exact,exact,exact,1.0,E02,E18,E27,E46,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.85,provisional_evidence_level; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S008,S008_CMOC2,Integrated Cases Section: A Course Designed to Promote Clinical Reasoning in Year 2 Medical Students,2010,10.1080/10401334.2010.512835,https://pubmed.ncbi.nlm.nih.gov/20936581/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_20936581.txt,Abstract Only,1291,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E10,"real-life scenarios, including simulation and simulated patients",E26,grateful for the learning experience,E22,positive learning experience,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,C: Students reported increased confidence in their diagnostic reasoning ability during the course. | I: Practice with variable case scenarios enhanced students application of basic science knowledge to clinical problem solving. | M: Students reported increased confidence in their diagnostic reasoning ability during the course. | O: Students clinical reasoning showed a significant gain after the Integrated Cases Section on a script concordance test.,exact,exact,exact,exact,1.0,E04,E10,E26,E22,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,PTS3,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.95,provisional_evidence_level,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: none; predicate aliases normalized: no."
S009,S009_CMOC1,To Think Is Good: Querying an Initial Hypothesis Reduces Diagnostic Error in Medical Students,2010,10.1097/ACM.0b013e3181e1b229,https://pubmed.ncbi.nlm.nih.gov/20592507/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_20592507.txt,Abstract Only,1699,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,C: first-year medical students from the University of Calgary | I: querying an initial diagnostic hypothesis | M: allows students to rectify an incorrect diagnosis | O: final diagnoses were more accurate than initial diagnoses,exact,exact,exact,exact,1.0,E02,E18,E27,E46,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.85,provisional_evidence_level; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S009,S009_CMOC2,To Think Is Good: Querying an Initial Hypothesis Reduces Diagnostic Error in Medical Students,2010,10.1097/ACM.0b013e3181e1b229,https://pubmed.ncbi.nlm.nih.gov/20592507/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_20592507.txt,Abstract Only,1699,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,C: students retained only 23.3% of initial diagnoses | I: no difference existed in the accuracy of initial and final diagnoses | M: change was almost invariably from incorrect to correct | O: initial diagnoses were retained only 23.3% of the time,exact,exact,exact,not_found,0.835,E05,E14,E45,E36,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.942,provisional_evidence_level,"AI-assisted draft, not final human gold. Evidence support 3/4; chain issues: none; predicate aliases normalized: no."
S010,S010_CMOC1,A Novel Educational Tool for Teaching Diagnostic Reasoning and Laboratory Data Interpretation to Veterinary (and Medical) Students,2011,10.1016/j.cll.2010.10.007,first-page-pdf.pdf,d:\LLM-Knowledge-Graph\graphrag\input\first-page-pdf.pdf.txt,Partial Full-text,2409,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E15,explicit and clear explanation of expert's reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E15-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,C: students with limited diagnostic experience in clinical pathology. | I: the educational tool provides explicit explanations of diagnostic reasoning. | M: students actively constructed understanding of diagnostic processes. | O: students demonstrated improved diagnostic accuracy after using the tool.,not_found,not_found,not_found,not_found,0.222,E02,E15,E27,E46,E15-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,PTS1,AI_DRAFT_REVIEW_REQUIRED,HIGH,0.578,provisional_evidence_level; weak_quote_support; pts_chain_mismatch,"AI-assisted draft, not final human gold. Evidence support 0/4; chain issues: outcome:E46_not_in_E25/E29/E30; predicate aliases normalized: no."
S010,S010_CMOC2,A Novel Educational Tool for Teaching Diagnostic Reasoning and Laboratory Data Interpretation to Veterinary (and Medical) Students,2011,10.1016/j.cll.2010.10.007,first-page-pdf.pdf,d:\LLM-Knowledge-Graph\graphrag\input\first-page-pdf.pdf.txt,Partial Full-text,2409,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,C: students lacking confidence in their diagnostic reasoning abilities. | I: students received minimal feedback during the learning process. | M: students expressed confusion due to lack of feedback. | O: students struggled to develop coherent illness scripts.,not_found,not_found,not_found,not_found,0.209,E05,E14,E45,E36,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,PTS4,AI_DRAFT_REVIEW_REQUIRED,HIGH,0.723,provisional_evidence_level; weak_quote_support,"AI-assisted draft, not final human gold. Evidence support 0/4; chain issues: none; predicate aliases normalized: no."
S011,S011_CMOC1,"Bringing Explicit Insight into Cognitive Psychology Features during Clinical Reasoning Seminars: A Prospective, Controlled Study",2011,10.4103/1357-6283.101459,https://pubmed.ncbi.nlm.nih.gov/21710417/,d:\LLM-Knowledge-Graph\graphrag\input\pubmed_21710417.txt,Abstract Only,1992,PTS3,Positive,E03,students with high clinical domain-specific knowledge,E07,an expert's reasoning processes or thoughts are explicitly revealed and discussed,E27,build understanding,E44,successful non-analytical reasoning in the future,E07-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E44,C: sixth-year medical students patient work-up of case-based reasoning seminars | I: the tutors made each step explicit to students and encouraged self-reflection on their reasoning processes | M: improved aspects of diagnostic competence | O: students in the intervention group significantly more often listed the correct diagnosis among the differential diagnoses in their charts,exact,exact,exact,exact,1.0,E03,E07,E27,E44,E07-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E44,PTS2,AI_DRAFT_REVIEW_REQUIRED_ABSTRACT_ONLY,HIGH,0.85,provisional_evidence_level; pts_chain_mismatch; pts_context_mismatch,"AI-assisted draft, not final human gold. Evidence support 4/4; chain issues: context:E03_not_in_E04, intervention:E07_not_in_E09/E10/E11, outcome:E44_not_in_E22/E28/E40/E41; predicate aliases normalized: no."
