study_id,cmoc_id,evidence_level,model_pts,model_polarity,model_context_code,model_context_text,model_intervention_code,model_intervention_text,model_mechanism_code,model_mechanism_text,model_outcome_code,model_outcome_text,model_relationship_triples,evidence_quote,human_corrected_context,human_corrected_intervention,human_corrected_mechanism,human_corrected_outcome,human_corrected_triples,human_corrected_pts,decision_status,error_category,reviewer_notes
S006,S006_CMOC1,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E25,high diagnostic accuracy,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,naïve students were trained to identify features on electrocardiograms (ECGs) and assign diagnoses....,,,,,,,PENDING,,
S006,S006_CMOC2,Full-text,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E09,teaching resources that allow them to make mistakes,E26,grateful for the learning experience,E22,positive learning experience,E09-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,students might naturally utilise a combined reasoning strategy....,,,,,,,PENDING,,
S007,S007_CMOC1,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E09,teaching resources that allow them to make mistakes,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E09-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,medical students at the end of their clinical studies proceed in an additive and mechanistic way....,,,,,,,PENDING,,
S007,S007_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,the information that a specific diagnostic conclusion or procedure is not adequate seems not to be sufficient to induce deep conceptual understanding....,,,,,,,PENDING,,
S008,S008_CMOC1,Abstract Only,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,Medical students often have difficulty applying basic science knowledge within clinical contexts as they transition into clerkships....,,,,,,,PENDING,,
S008,S008_CMOC2,Abstract Only,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E10,"real-life scenarios, including simulation and simulated patients",E26,grateful for the learning experience,E22,positive learning experience,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,Students reported increased confidence in their diagnostic reasoning ability during the course....,,,,,,,PENDING,,
S009,S009_CMOC1,Abstract Only,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,first-year medical students from the University of Calgary...,,,,,,,PENDING,,
S009,S009_CMOC2,Abstract Only,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,students retained only 23.3% of initial diagnoses...,,,,,,,PENDING,,
S010,S010_CMOC1,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E15,explicit and clear explanation of expert's reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E15-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,students with limited diagnostic experience in clinical pathology....,,,,,,,PENDING,,
S010,S010_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,students lacking confidence in their diagnostic reasoning abilities....,,,,,,,PENDING,,
S011,S011_CMOC1,Abstract Only,PTS3,Positive,E03,students with high clinical domain-specific knowledge,E07,an expert's reasoning processes or thoughts are explicitly revealed and discussed,E27,build understanding,E44,successful non-analytical reasoning in the future,E07-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E44,sixth-year medical students patient work-up of case-based reasoning seminars...,,,,,,,PENDING,,
S011,S011_CMOC2,Abstract Only,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[CONSTRAINS]->E45; E45-[LEADS_TO]->E36,students in the control group had lower accuracy in diagnosis...,,,,,,,PENDING,,
S012,S012_CMOC1,Full-text,PTS3,Positive,E06,students with different levels of knowledge within a group,E10,"real-life scenarios, including simulation and simulated patients",E27,build understanding,E22,positive learning experience,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E22,students are multiple users; the average number of attempts at each scenario per student is greater than 1....,,,,,,,PENDING,,
S012,S012_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E38,negative learning outcomes,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E38,students commented that they found the scenarios useful for developing consulting skills....,,,,,,,PENDING,,
S013,S013_CMOC1,Abstract Only,PTS4,Negative,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E10,"real-life scenarios, including simulation and simulated patients",E32,fear,E36,poor illness script development,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E32; E32-[LEADS_TO]->E36,students failing standardized patient examinations represent poorly targeted approaches...,,,,,,,PENDING,,
S013,S013_CMOC2,Abstract Only,PTS1,Positive,E03,students with high clinical domain-specific knowledge,E13,accurate and timely feedback,E27,build understanding,E25,high diagnostic accuracy,E13-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,students who failed a clinical performance examination...,,,,,,,PENDING,,
S014,S014_CMOC1,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,students in Year 3 of an undergraduate programme...,,,,,,,PENDING,,
S014,S014_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,students in the control condition... did not generate self-explanations...,,,,,,,PENDING,,
S015,S015_CMOC1,Full-text,PTS3,Positive,E06,students with different levels of knowledge within a group,E10,"real-life scenarios, including simulation and simulated patients",E27,build understanding,E44,successful non-analytical reasoning in the future,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E44,"students feel unprepared for clinical decision making as FY1s, and lack effective decision making strategies....",,,,,,,PENDING,,
S015,S015_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,students continue to feel unprepared for the responsibility of clinical decision making....,,,,,,,PENDING,,
S016,S016_CMOC1,Full-text,PTS3,Positive,E03,students with high clinical domain-specific knowledge,E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,46 Year 4 students diagnosed six clinical cases under different experimental conditions....,,,,,,,PENDING,,
S016,S016_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,students in the reﬂection condition performed worse than those in the other conditions....,,,,,,,PENDING,,
S017,S017_CMOC1,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E15,explicit and clear explanation of expert's reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E15-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,Year 2 medical students were randomised to learn four cardiac diagnoses using schema-based instruction....,,,,,,,PENDING,,
S017,S017_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E08,instructed to use analytical reasoning alone,E45,confusion,E36,poor illness script development,E08-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,We anticipated lower diagnostic accuracy on untaught lesions among students instructed with schemas....,,,,,,,PENDING,,
S018,S018_CMOC1,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E10,"real-life scenarios, including simulation and simulated patients",E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,"students explicitly paid attention to variations in enabling conditions and consequences, which led to improvement of these knowledge components....",,,,,,,PENDING,,
S018,S018_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,"integration of biomedical knowledge into the fault component was, however, hampered by lack of knowledge and by misconceptions that students were unable to debug....",,,,,,,PENDING,,
S019,S019_CMOC1,Abstract Only,PTS3,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E10,"real-life scenarios, including simulation and simulated patients",E27,build understanding,E22,positive learning experience,E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E22,Our medical students learn clinical reasoning in small group discussion sessions and during their clinical attachments....,,,,,,,PENDING,,
S019,S019_CMOC2,Abstract Only,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[CONSTRAINS]->E45; E45-[LEADS_TO]->E36,These are popular with students but provide little opportunity for interaction....,,,,,,,PENDING,,
S020,S020_CMOC1,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E18-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,fourth-year medical students just before attaining the license of medical doctor...,,,,,,,PENDING,,
S020,S020_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[CONSTRAINS]->E45; E45-[LEADS_TO]->E36,students in the control group provided a diagnosis without these processes...,,,,,,,PENDING,,
S021,S021_CMOC1,Full-text,PTS5,Positive,E06,students with different levels of knowledge within a group,E17,listen to near-peer think aloud their reasoning with the use of prompts and examples,E39,build upon what they already know,E43,complete illness scripts,E17-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E43,Lack of familiarity with a case seems to stimulate medical students to engage in more extensive thinking during self-explanation....,,,,,,,PENDING,,
S021,S021_CMOC2,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E15,explicit and clear explanation of expert's reasoning,E27,build understanding,E25,high diagnostic accuracy,E15-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,Students provided more self-explanation segments from less familiar cases....,,,,,,,PENDING,,
S022,S022_CMOC1,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E09,teaching resources that allow them to make mistakes,E27,build understanding,E25,high diagnostic accuracy,E09-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,Forty-nine cytology novice participants undertook an initial image interpretation test to obtain baseline diagnostic accuracy....,,,,,,,PENDING,,
S022,S022_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E08,instructed to use analytical reasoning alone,E45,confusion,E38,negative learning outcomes,E08-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E38,the speed of response to test images was generally faster under nonanalytic than under analytic conditions....,,,,,,,PENDING,,
S023,S023_CMOC1,Full-text,PTS2,Positive,E03,students with high clinical domain-specific knowledge,E10,"real-life scenarios, including simulation and simulated patients",E39,build upon what they already know,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E10-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E46,"Surgeons solved more cases correctly (mean 77 %) than surgical residents (67 %), interns (60 %), master-degree students (50 %), and bachelor-degree students (39 % ( p< 0.01)....",,,,,,,PENDING,,
S023,S023_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E36,poor illness script development,E14-[CONSTRAINS]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,"Of the students, 8 of 17 found the game frustrating (compared to 1 of 11 trainees and 1 of 6 experts)....",,,,,,,PENDING,,
S024,S024_CMOC1,Full-text,PTS3,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E10,"real-life scenarios, including simulation and simulated patients",E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E10-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,"students feel they are not prepared for clinical work: evidence shows that they feel unprepared for standard, typical patient presentations and common conditions....",,,,,,,PENDING,,
S024,S024_CMOC2,Full-text,PTS5,Positive,E06,students with different levels of knowledge within a group,E07,an expert's reasoning processes or thoughts are explicitly revealed and discussed,E39,build upon what they already know,E43,complete illness scripts,E07-[PROVIDES]->E19; E19-[TRIGGERS]->E39; E39-[LEADS_TO]->E43,"the plurality required is not present in their education, and is considered to be a major challenge....",,,,,,,PENDING,,
S025,S025_CMOC1,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E08,instructed to use analytical reasoning alone,E45,confusion,E36,poor illness script development,E08-[PROVIDES]->E19; E19-[TRIGGERS]->E45; E45-[LEADS_TO]->E36,students lacking confidence in their diagnostic intuitions...,,,,,,,PENDING,,
S025,S025_CMOC2,Full-text,PTS4,Negative,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E14,"feedback is absent, incomplete or contains errors",E23,frustrated,E38,negative learning outcomes,E14-[PROVIDES]->E19; E19-[TRIGGERS]->E23; E23-[LEADS_TO]->E38,students with limited diagnostic experience...,,,,,,,PENDING,,
S026,S026_CMOC1,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E17,listen to near-peer think aloud their reasoning with the use of prompts and examples,E27,build understanding,E25,high diagnostic accuracy,E17-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E25,"Fifty-three third-year medical students were assigned to a peer SE example, an expert SE example or control (no example) group....",,,,,,,PENDING,,
S026,S026_CMOC2,Full-text,PTS4,Negative,E05,negative student coping strategies or lacking self-confidence or self-efficacy,E14,"feedback is absent, incomplete or contains errors",E45,confusion,E38,negative learning outcomes,E14-[CONSTRAINS]->E19; E19-[CONSTRAINS]->E45; E45-[LEADS_TO]->E38,"the results may differ if examples of intermediate levels of expertise (e.g., residents) are tested....",,,,,,,PENDING,,
S027,S027_CMOC1,Full-text,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E17,listen to near-peer think aloud their reasoning with the use of prompts and examples,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E17-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,"students’ exposure to adapted examples of clinical reasoning is important, but their active processing of these examples seems critical....",,,,,,,PENDING,,
S027,S027_CMOC2,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E18,instructing to use both 'non-analytical' or pattern recognition and analytical or step-wise approach to reasoning,E42,develop understanding of their successes and failures and generate plans for improvement,E44,successful non-analytical reasoning in the future,E18-[PROVIDES]->E19; E19-[TRIGGERS]->E42; E42-[LEADS_TO]->E44,students’ exposure to adapted examples of clinical reasoning is important....,,,,,,,PENDING,,
S028,S028_CMOC1,Full-text,PTS1,Positive,E02,"students with 'low knowledge,' low clinical domain-specific knowledge, or an inability to use knowledge in a reasoning situation",E24,rely on non-analytical reasoning,E27,build understanding,E46,"increase in learning gain or outcomes, or increase in diagnostic accuracy",E24-[PROVIDES]->E19; E19-[TRIGGERS]->E27; E27-[LEADS_TO]->E46,Year 4 medical students attended 10 weekly computer-based seminars....,,,,,,,PENDING,,
S028,S028_CMOC2,Full-text,PTS3,Positive,E04,positive student coping strategies or appropriate level of self-confidence or self-efficacy,E12,strategies that promote knowledge retention,E26,grateful for the learning experience,E22,positive learning experience,E12-[PROVIDES]->E19; E19-[TRIGGERS]->E26; E26-[LEADS_TO]->E22,students were more engaged and retained more procedural knowledge....,,,,,,,PENDING,,
